xstart, xend, N, bstart, bend, c, Ve, cachname 
[0.001],[1.4],10,[  1.11420000e-14   1.62000000e+00   9.00000000e+01],[  1.48560000e-14   2.16000000e+00   1.20000000e+02],{},[[ 0.001]],00_a8bb4fbf5c23b8b29ef7244c0d37f7c9
[0.001],[1.4],15,[  1.11420000e-14   1.62000000e+00   9.00000000e+01],[  1.48560000e-14   2.16000000e+00   1.20000000e+02],{},[[ 0.001]],00_21c86c5018532181566d2fc19d39d758
[0.001],[1.4],20,[  1.11420000e-14   1.62000000e+00   9.00000000e+01],[  1.48560000e-14   2.16000000e+00   1.20000000e+02],{},[[ 0.001]],00_d6dba15bf9948c8c41381999e60fac82
[0.001],[1.4],25,[  1.11420000e-14   1.62000000e+00   9.00000000e+01],[  1.48560000e-14   2.16000000e+00   1.20000000e+02],{},[[ 0.001]],00_23358563f1220c944c75d9e9825f427d
[0.001],[1.4],30,[  1.11420000e-14   1.62000000e+00   9.00000000e+01],[  1.48560000e-14   2.16000000e+00   1.20000000e+02],{},[[ 0.001]],00_343cf25b992c200288d40e72b9dd6e2d
[0.001],[1.4],35,[  1.11420000e-14   1.62000000e+00   9.00000000e+01],[  1.48560000e-14   2.16000000e+00   1.20000000e+02],{},[[ 0.001]],00_a67afe60a56999a69ea76ec7590ba901
[0.001],[1.4],20,[  1.11420000e-14   1.62000000e+00   9.00000000e+01],[  1.48560000e-14   2.16000000e+00   1.20000000e+02],{},[[  1.00000000e-09]],00_f33bcb6c66517111ee6cdee31874c47f
[0.001],[1.4],5,[  1.11420000e-14   1.62000000e+00   9.00000000e+01],[  1.48560000e-14   2.16000000e+00   1.20000000e+02],{},[[  1.00000000e-19]],00_1db6ebb35423b4f016f12dae3ac1f03c
[0.001],[1.4],20,[  1.23800000e-14   1.80000000e+00   1.00000000e+02],[  1.36180000e-14   1.98000000e+00   1.10000000e+02],{},[[  1.00000000e-09]],00_e8a98cf595efc1f8e3a916f6a9a5950c
[0.001],[1.4],20,[  1.20705000e-14   1.75500000e+00   9.75000000e+01],[  1.39275000e-14   2.02500000e+00   1.12500000e+02],{},[[  1.00000000e-09]],00_ca7c8c7609e57774c888eb1b6581208a
[0.001],[1.4],20,[  1.17610000e-14   1.71000000e+00   9.50000000e+01],[  1.42370000e-14   2.07000000e+00   1.15000000e+02],{},[[  1.00000000e-09]],00_a9795c6b16b12e57682aae3b5797be35
[0.001],[1.4],20,[  1.14515000e-14   1.66500000e+00   9.25000000e+01],[  1.45465000e-14   2.11500000e+00   1.17500000e+02],{},[[  1.00000000e-09]],00_e5ebcb6582b68548852f650de8eb2c67
[0.001],[1.4],10,[  1.11420000e-14   1.62000000e+00   9.00000000e+01],[  1.48560000e-14   2.16000000e+00   1.20000000e+02],{},[[  1.00000000e-08]],00_3751734c2e7bee3119a3dcafbaed732b
