iteration num,assym,detve,diapwidth,isbinitgood,lbinitbtrue,n,nsig,nsiggen,plantype, b,AvDif,AvLogTruth,SigmaDif,SigmaLT,Sk,numiter
0,0.001,0.1,0.15,0,6.26165620074,10,20,20,1,[1.34221904744e-14;1.82029221803;96.3391771691],7.81924791795e-05,3.20543813891e-07,0.000108527456717,5.79689164229e-07,2.22347652743e-07,1.0
iteration num,assym,detve,diapwidth,isbinitgood,lbinitbtrue,n,nsig,nsiggen,plantype, b,AvDif,AvLogTruth,SigmaDif,SigmaLT,Sk,numiter
0,0.001,0.1,0.15,0,2.35580841355,10,20,20,1,[1.15029636807e-14;1.82562097172;109.628986485],7.86703283258e-05,3.26019196497e-07,0.000105453518364,5.70430255518e-07,2.34825924163e-07,1.0
1,0.001,0.1,0.15,1,2.35580841355,10,20,20,1,[1.15069935142e-14;1.81653701855;92.9418683326],9.64400604177e-05,5.9454481031e-07,0.000144419642338,1.26896955145e-06,4.56963081834e-07,1.0
2,0.001,0.01,0.15,0,2.35580841355,10,20,20,1,[1.18666988815e-14;1.79801922183;101.544483594],3.87487213276e-05,5.9101504676e-07,4.78408789105e-05,1.13816030769e-06,5.00336538407e-08,1.0
3,0.001,0.01,0.15,1,2.35580841355,10,20,20,1,[1.18286978169e-14;1.79520942437;102.457573593],2.94285401161e-05,3.72791731972e-07,3.64330951161e-05,6.93955298901e-07,3.48617686105e-08,1.0
4,0.001,0.001,0.15,0,2.35580841355,10,20,20,1,[1.20468477433e-14;1.79936065963;99.1487923575],9.62543396244e-06,4.44124172043e-07,1.26229339198e-05,8.39841074534e-07,8.13585332713e-09,1.0
5,0.001,0.001,0.15,1,2.35580841355,10,20,20,1,[1.16754438227e-14;1.79387525968;102.047581343],6.95944252629e-06,2.0940412808e-07,9.10057286961e-06,4.0012255143e-07,6.60855548508e-09,1.0
6,0.001,1e-06,0.15,0,2.35580841355,10,20,20,1,[1.21790373597e-14;1.79866071525;99.9773459406],2.94852876505e-07,3.39403331398e-07,2.9471706087e-07,5.59529206979e-07,1.86343887536e-09,1.0
7,0.001,1e-06,0.15,1,2.35580841355,10,20,20,1,[1.19972471431e-14;1.79752425138;100.060966987],3.44572586617e-07,3.80843830673e-07,3.37189146919e-07,5.9196167471e-07,4.39152688268e-09,1.0
8,0.001,1e-09,0.15,0,2.35580841355,10,20,20,1,[1.23783296965e-14;1.79999018301;99.9996444966],8.69834209482e-09,4.44618909883e-07,1.29617334308e-08,8.18510131793e-07,2.43806232644e-11,1.0
9,0.001,1e-09,0.15,1,2.35580841355,10,20,20,1,[1.23952124736e-14;1.80009127987;99.997608436],7.48218965502e-09,2.60140390833e-07,1.0295021594e-08,4.35737661802e-07,2.51510343455e-11,1.0
10,0.001,1e-19,0.15,0,2.35580841355,10,20,20,1,[  1.23800000e-14   1.80000000e+00   1.00000000e+02],1.46069260111e-19,5.58901097947e-19,1.3336734273040058e-19,7.645154430015078e-19,6.29525489427e-21,1
11,0.001,1e-19,0.15,1,2.35580841355,10,20,20,1,[  1.23800000e-14   1.80000000e+00   1.00000000e+02],1.46069260111e-19,5.58901097947e-19,1.3336734273040058e-19,7.645154430015078e-19,6.29525489427e-21,1
12,0.011,0.1,0.15,0,2.35580841355,10,20,20,1,[1.15064095709e-14;1.81786867213;102.744772922],0.000139218049079,8.39822233665e-07,0.000162592756417,1.58920818662e-06,5.77383351738e-07,1.0
13,0.011,0.1,0.15,1,2.35580841355,10,20,20,1,[1.15074500204e-14;1.83747212895;82.3115328615],0.000120080399935,5.32597894704e-07,0.000136662652216,8.83562315962e-07,3.63225982267e-07,1.0
14,0.011,0.01,0.15,0,2.35580841355,10,20,20,1,[1.15071814651e-14;1.79111838408;106.305025668],3.31678583762e-05,4.07094689985e-07,3.49026956024e-05,6.2787749002e-07,2.15532910067e-08,1.0
15,0.011,0.01,0.15,1,2.35580841355,10,20,20,1,[1.14974591258e-14;1.78976280332;101.55920109],3.5146135342e-05,4.57719423108e-07,3.41067114047e-05,6.20001823641e-07,-1.18497618349e-07,1.0
16,0.011,0.001,0.15,0,2.35580841355,10,20,20,1,[1.15148761846e-14;1.79742951407;98.8936996144],1.49958304682e-05,1.10615653935e-06,2.05507138621e-05,2.02580446234e-06,6.76469297114e-09,1.0
17,0.011,0.001,0.15,1,2.35580841355,10,20,20,1,[1.15069157544e-14;1.79159062715;102.062774757],1.4940373249e-05,9.92151306072e-07,1.72145688338e-05,1.62284009589e-06,3.81174632997e-09,1.0
18,0.011,1e-06,0.15,0,2.35580841355,10,20,20,1,[1.15069103703e-14;1.79479169131;100.017995288],4.43934066905e-07,1.3214643641e-06,6.96877240351e-07,2.57803348003e-06,-3.23043598349e-09,1.0
19,0.011,1e-06,0.15,1,2.35580841355,10,20,20,1,[1.15069052285e-14;1.79467717101;100.040313127],3.0419073964e-07,5.45059630647e-07,4.73351662726e-07,1.07578803668e-06,-3.00334805581e-09,1.0
20,0.011,1e-09,0.15,0,2.35580841355,10,20,20,1,[1.15068877281e-14;1.79453063907;100.136626931],6.58939415197e-08,1.88150261743e-05,9.37423093924e-08,4.00519035696e-05,-1.04816127949e-09,1.0
21,0.011,1e-09,0.15,1,2.35580841355,10,20,20,1,[1.15068877595e-14;1.79452871565;100.136874757],6.77745055332e-08,1.91898019988e-05,9.37477753361e-08,3.95751572793e-05,-6.39089415955e-10,1.0
22,0.011,1e-19,0.15,0,2.35580841355,10,20,20,1,[  1.15068789e-14   1.79453095e+00   1.00135030e+02],1.26066636353e-07,345541.29628,9.107740629979404e-08,415560.11812859826,-6.75877836863e-10,1
23,0.011,1e-19,0.15,1,2.35580841355,10,20,20,1,[  1.15068789e-14   1.79453095e+00   1.00135030e+02],1.26066636353e-07,345541.29628,9.107740629979404e-08,415560.11812859826,-6.75877836863e-10,1
24,0.021,0.1,0.15,0,2.35580841355,10,20,20,1,[1.14913167316e-14;1.80863597645;80.9323262241],0.000145104389663,9.08444319233e-07,0.000175425775649,1.71182685007e-06,6.6397827229e-07,1.0
25,0.021,0.1,0.15,1,2.35580841355,10,20,20,1,[1.15054607184e-14;1.7863370018;100.45885953],0.000168048270348,8.9611128124e-07,0.000173276448934,1.28541539825e-06,6.13748628752e-07,1.0
26,0.021,0.01,0.15,0,2.35580841355,10,20,20,1,[1.15192444361e-14;1.78922997563;102.298366829],5.0459997296e-05,8.41827238126e-07,5.43893221468e-05,1.33932658532e-06,6.54519703037e-08,1.0
27,0.021,0.01,0.15,1,2.35580841355,10,20,20,1,[1.11126085259e-14;1.79126589617;102.782194448],3.92054082217e-05,6.16057463444e-07,4.5560757329e-05,1.01411518967e-06,4.37044676373e-08,1.0
28,0.021,0.001,0.15,0,2.35580841355,10,20,20,1,[1.15090041546e-14;1.7957909066;99.7944965572],8.54622154697e-06,2.8481386508e-07,1.0060413471e-05,4.70657994254e-07,2.49710396265e-09,1.0
29,0.021,0.001,0.15,1,2.35580841355,10,20,20,1,[1.13842167676e-14;1.7958983386;97.7920238624],1.09398604812e-05,4.83682849943e-07,1.31793906187e-05,8.01215112926e-07,9.18613818573e-09,1.0
30,0.021,1e-06,0.15,0,2.35580841355,10,20,20,1,[1.15113472796e-14;1.79464567222;100.076655786],3.83296583011e-07,5.92685888232e-07,4.37236919575e-07,9.59794318277e-07,9.94186695892e-11,1.0
31,0.021,1e-06,0.15,1,2.35580841355,10,20,20,1,[1.15114043814e-14;1.79454304407;100.128060395],4.76321907998e-07,9.37760148794e-07,5.74508453131e-07,1.50529229215e-06,1.10566348629e-10,1.0
32,0.021,1e-09,0.15,0,2.35580841355,10,20,20,1,[1.15048536545e-14;1.79478907381;100.009952483],2.07275315266e-07,0.000166676872889,2.71242037872e-07,0.000258977958549,1.23618037834e-09,1.0
33,0.021,1e-09,0.15,1,2.35580841355,10,20,20,1,[1.15048759774e-14;1.79478658097;100.010486574],2.04950458979e-07,0.000163547861642,2.68947901308e-07,0.000253986947788,1.23403859871e-09,1.0
34,0.021,1e-19,0.15,0,2.35580841355,10,20,20,1,[  1.15117281e-14   1.79455030e+00   1.00139940e+02],8.78105404734e-08,229436.698695,9.137766625626069e-08,350541.8780037224,1.20490714875e-10,1
35,0.021,1e-19,0.15,1,2.35580841355,10,20,20,1,[  1.15117281e-14   1.79455030e+00   1.00139940e+02],8.78105404734e-08,229436.698695,9.137766625626069e-08,350541.8780037224,1.20490714875e-10,1
36,0.031,0.1,0.15,0,2.35580841355,10,20,20,1,[1.14965703422e-14;1.80473744796;89.223444344],0.00017375800841,1.32361294351e-06,0.000214519734974,2.34610428172e-06,9.445363596e-07,1.0
37,0.031,0.1,0.15,1,2.35580841355,10,20,20,1,[1.15387371717e-14;1.80020899753;91.8920239152],0.000120016857557,7.79515086676e-07,0.000158146557493,1.5215345828e-06,5.39877452149e-07,1.0
38,0.031,0.01,0.15,0,2.35580841355,10,20,20,1,[1.1502230762e-14;1.78232363132;101.500445143],5.17622041179e-05,1.23701951865e-06,5.78985150835e-05,1.57933350903e-06,1.90497420452e-07,1.0
39,0.031,0.01,0.15,1,2.35580841355,10,20,20,1,[1.15774937181e-14;1.78833646644;101.2495099],5.78561526911e-05,1.47660583481e-06,7.12525191716e-05,2.28745103297e-06,3.1805271338e-08,1.0
40,0.031,0.001,0.15,0,2.35580841355,10,20,20,1,[1.16324657929e-14;1.78003348817;106.63753996],2.07550724207e-05,2.08420911701e-06,2.17741924679e-05,2.96588129284e-06,1.03471197681e-08,1.0
41,0.031,0.001,0.15,1,2.35580841355,10,20,20,1,[1.14780038884e-14;1.78785673885;102.589612298],2.05083716922e-05,1.52391209829e-06,2.1586223489e-05,2.35353259593e-06,9.62176766572e-09,1.0
42,0.031,1e-06,0.15,0,2.35580841355,10,20,20,1,[1.16247960506e-14;1.76689620121;114.746009627],2.39481349577e-05,0.00168694836783,2.46325777269e-05,0.00196564103882,1.08476469848e-08,1.0
43,0.031,1e-06,0.15,1,2.35580841355,10,20,20,1,[1.16234791553e-14;1.76707154892;114.672218523],2.37561590942e-05,0.00165598319886,2.43526065476e-05,0.00192609070002,1.06044242223e-08,1.0
44,0.031,1e-09,0.15,0,2.35580841355,10,20,20,1,[1.15805704221e-14;1.76766068312;112.839837158],2.00082660351e-05,1.14664182788,2.00578486182e-05,1.38911583569,6.175784454e-09,1.0
45,0.031,1e-09,0.15,1,2.35580841355,10,20,20,1,[1.15805391398e-14;1.76767586483;112.833621836],1.99962725972e-05,1.14536383628,2.00475187582e-05,1.38762271207,6.16022315873e-09,1.0
46,0.031,1e-19,0.15,0,2.35580841355,10,20,20,1,[  1.16108598e-14   1.76908399e+00   1.13108430e+02],1.86626697498e-05,11901940543.2,2.2019096162973384e-05,16320514048.425112,7.079968824e-09,1
47,0.031,1e-19,0.15,1,2.35580841355,10,20,20,1,[  1.16108598e-14   1.76908399e+00   1.13108430e+02],1.86626697498e-05,11901940543.2,2.2019096162973384e-05,16320514048.425112,7.079968824e-09,1
48,0.001,0.1,0.2,0,2.35580841355,10,20,20,1,[1.15273724737e-14;1.84116606155;81.3161372185],0.000159650185376,8.91517498675e-07,0.000162838692572,1.38636008196e-06,6.35183332934e-07,1.0
49,0.001,0.1,0.2,1,2.35580841355,10,20,20,1,[1.15248687943e-14;1.84151102741;78.290291526],0.000136204555248,6.78655391712e-07,0.000147066075141,1.1419324151e-06,4.78851185629e-07,1.0
50,0.001,0.01,0.2,0,2.35580841355,10,20,20,1,[1.19143085938e-14;1.81293279788;89.8164187465],3.66926064774e-05,5.29536033113e-07,4.43603790844e-05,8.89976736159e-07,3.97652286886e-08,1.0
51,0.001,0.01,0.2,1,2.35580841355,10,20,20,1,[1.18344124585e-14;1.79269664111;105.005049425],3.28019120339e-05,4.48104144848e-07,3.886494589e-05,7.98105158702e-07,3.5229156793e-08,1.0
52,0.001,0.001,0.2,0,2.35580841355,10,20,20,1,[1.14756943175e-14;1.79216169278;101.947961207],1.05389470805e-05,4.81484549262e-07,1.34393803178e-05,8.29653108248e-07,5.77474670255e-09,1.0
53,0.001,0.001,0.2,1,2.35580841355,10,20,20,1,[1.16872417182e-14;1.79219131511;103.105226854],6.38678927639e-06,1.95440018511e-07,8.72270286065e-06,3.63161387873e-07,3.59581317364e-09,1.0
54,0.001,1e-06,0.2,0,2.35580841355,10,20,20,1,[1.27404313231e-14;1.80197720732;99.9911436671],3.31995892235e-08,2.09978717596e-08,6.39777001545e-08,4.89504331443e-08,1.48381399806e-11,1.0
55,0.001,1e-06,0.2,1,2.35580841355,10,20,20,1,[1.27849449677e-14;1.80222601179;99.9070449448],3.30832121605e-08,1.84666338106e-08,6.17652091428e-08,4.27839033728e-08,1.13339169668e-11,1.0
56,0.001,1e-09,0.2,0,2.35580841355,10,20,20,1,[1.2386633427e-14;1.80003855876;99.9979961453],8.56456538725e-09,3.18643597491e-07,9.87316510557e-09,5.35351196343e-07,6.5882801837e-11,1.0
57,0.001,1e-09,0.2,1,2.35580841355,10,20,20,1,[1.2392473464e-14;1.80007379787;99.9970413117],1.09663472776e-08,5.89019402312e-07,1.34047123827e-08,1.05132594232e-06,8.24007183926e-11,1.0
58,0.001,1e-19,0.2,0,2.35580841355,10,20,20,1,[  1.23800000e-14   1.80000000e+00   1.00000000e+02],2.49423268819e-19,1.97525056137e-18,2.7578174752416646e-19,2.5017184460738816e-18,1.23935535832e-20,1
59,0.001,1e-19,0.2,1,2.35580841355,10,20,20,1,[  1.23800000e-14   1.80000000e+00   1.00000000e+02],2.49423268819e-19,1.97525056137e-18,2.7578174752416646e-19,2.5017184460738816e-18,1.23935535832e-20,1
60,0.011,0.1,0.2,0,2.35580841355,10,20,20,1,[1.15134657872e-14;1.84890225437;77.3352892491],0.000155389593241,7.59154160011e-07,0.000151056530924,1.0282072292e-06,5.37140849569e-07,1.0
61,0.011,0.1,0.2,1,2.35580841355,10,20,20,1,[1.15045003862e-14;1.8181838352;80.803634676],0.000199402484134,1.60928051934e-06,0.000245035652318,2.97517767488e-06,1.12019371252e-06,1.0
62,0.011,0.01,0.2,0,2.35580841355,10,20,20,1,[1.17305023099e-14;1.79022443695;101.321972915],4.00408825276e-05,9.01153078597e-07,5.95683840966e-05,1.68715149801e-06,7.10917780762e-08,1.0
63,0.011,0.01,0.2,1,2.35580841355,10,20,20,1,[1.14945342002e-14;1.80050960585;95.753539463],3.23093174248e-05,5.39231036001e-07,4.47961409558e-05,8.96483116092e-07,4.67892238809e-08,1.0
64,0.011,0.001,0.2,0,2.35580841355,10,20,20,1,[1.14846798853e-14;1.7949543365;98.8623933048],9.78544987799e-06,3.51532440815e-07,1.08831979756e-05,6.0669344668e-07,6.87719787768e-09,1.0
65,0.011,0.001,0.2,1,2.35580841355,10,20,20,1,[1.17001763007e-14;1.79813103795;98.0308465394],1.06399922792e-05,4.49952091708e-07,1.21010210596e-05,8.49114331663e-07,6.41804807925e-09,1.0
66,0.011,1e-06,0.2,0,2.35580841355,10,20,20,1,[1.23708891619e-14;1.79964386046;100.04289241],3.6729828839e-07,4.65819735989e-07,4.20128125954e-07,8.27122074693e-07,7.24647031805e-10,1.0
67,0.011,1e-06,0.2,1,2.35580841355,10,20,20,1,[1.27700496766e-14;1.80239550183;99.8006078441],3.09660348188e-07,3.88771991035e-07,3.57305381869e-07,6.50247620553e-07,6.49211489953e-10,1.0
68,0.011,1e-09,0.2,0,2.35580841355,10,20,20,1,[1.23600939067e-14;1.79987662584;100.00409837],1.35948013045e-08,6.04195497416e-07,1.36238690401e-08,9.27465478368e-07,1.06858633643e-10,1.0
69,0.011,1e-09,0.2,1,2.35580841355,10,20,20,1,[1.23702074956e-14;1.79993842784;100.002888592],1.30553634554e-08,5.44687898817e-07,1.33939120487e-08,9.49812837882e-07,1.03338152959e-10,1.0
70,0.011,1e-19,0.2,0,2.35580841355,10,20,20,1,[  1.23800000e-14   1.80000000e+00   1.00000000e+02],2.90164382769e-19,2.675121505e-18,3.210344784003003e-19,3.526624957132796e-18,6.70848764831e-21,1
71,0.011,1e-19,0.2,1,2.35580841355,10,20,20,1,[  1.23800000e-14   1.80000000e+00   1.00000000e+02],2.90164382769e-19,2.675121505e-18,3.210344784003003e-19,3.526624957132796e-18,6.70848764831e-21,1
